,spa_text,gum_text,origin,origin_details
0,"Genealogía de Jesús, Mesías, Hijo de David, Hijo de Abrahán:","Iibe Jesucristoi merrabsrø misaamerai munchimera gøn, tru Davidweinukkurrimba, Abrahamweinukkurrimba amrrub misag.",bible,Mateo 1 - 1
1,Abrahán engendró a Isaac; Isaac engendró a Jacob; Jacob engendró a Judá y a sus hermanos.,"Abrahambe Isaacwei møskain gøben; Isaacbe Jacobwei møskain gøben; Jacobpe Judába, nui nunelaimba møskain gøbig køn.",bible,Mateo 1 - 2
2,"Judá engendró, de Tamar, a Fares y a Zara;  Fares engendró a Esrón","Judábe Faresweimba, Zaraimba møskain gøben, tru uregwei usrimbe Tamar gøbig køn. Faresbe Esromwei møskain gøben; Esrombe Aramwei møskain gøbig køn.",bible,Mateo 1 - 3
3,Esrón engendró a Arán; Arán engendró a Aminadab; Aminadab engendró a Naasón; Naasón engendró a Salmón.,Arambe Aminadabwei møskain gøben; Aminadabpe Naasónwei møskain gøbig køn. Inchen Naasónbe Salmónwei møskaingue.,bible,Mateo 1 - 4
4,"Salmón engendró, de Rajab, a Booz; Booz engendró, de Rut, a Obed; Obed engendró a Jesé","Salmónbe Boozwei møskain gøben, nui usrimbe Rahab gøbig køn. Boozbe Obedwei møskain gøben, nui usrimbe Rut gøbig køn. Obedbe Isaíwei møskain gøben;",bible,Mateo 1 - 5
5,"Jesé engendró al rey David. David, de la mujer de Urías, engendró a Salomón.","Isaíbe Davidwei møskain gøbig køn. Inchen rey Davidba, Uríaswei srain gøbiibabe Salomónwøi møskalø gøbig køn.",bible,Mateo 1 - 6
6,Salomón engendró a Roboán; Roboán engendró a Abías; Abías engendró a Asá,Salomónbe Roboamwei møskain gøben; Roboambe Abíaswei møskain gøben; Abíasbe Asaiwei møskain gøbig køn.,bible,Mateo 1 - 7
7,Asá engendró a Josafat; Josafat engendró a Jorán; Jorán engendró a Ozías,Inchen Asabe Josafatwei møskain gøben; Josafatbe Joramwei møskain gøben; Jorambe Uzíaswei møskain gøbig køn.,bible,Mateo 1 - 8
8,Ozías engendró a Joatán;  Joatán engendró a Acaz; Acaz engendró a Ezequías,Uzíasbe Jotamwei møskain gøben; Jotambe Acazwei møskain gøben; Acazbe Ezequíaswei møskain gøbig køn.,bible,Mateo 1 - 9
9,Ezequías engendró a Manasés; Manasés engendró a Amón; Amón engendró a Josías,Ezequíasbe Manaséswei møskain gøben; Manasésbe Amonwei møskain gøben; Amonbe Josíaswei møskain gøbig køn.,bible,Mateo 1 - 10
10,"Josías engendró a Jeconías y a sus hermanos, cuando la deportación de Babilonia.","Inchen Josíasbe Jeconíasweimba, nunelaimba møskain gøbig køn, tru israelitasmeran Babiloniamay merrarrawa srua ambub uras.",bible,Mateo 1 - 11
11,"Después de la deportación de Babilonia, Jeconías engendró a Salatiel;  Salatiel engendró a Zorobabel","Øyeeg chab srua amben, Jeconíasbe Salatielwei møskain gøben; Salatielbe Zorobabelwei møskain gøben;",bible,Mateo 1 - 12
12,Zorobabel engendró a Abiud; Abiud engendró a Eliaquín; Eliaquín engendró a Azor,Zorobabelbe Abiudwei møskain gøben; Abiudbe Eliaquimwei møskain gøben; Eliaquimbe Azorwei møskain gøbig køn.,bible,Mateo 1 - 13
13,Azor engendró a Sadoc;  Sadoc engendró a Ajín; Ajín engedró a Eliud,Azorbe Sadocwei møskain gøben; Sadocbe Aquimwei møskain gøbig køn. Inchen Aquimbe Eliudwei møskaingue.,bible,Mateo 1 - 14
14,Eliud engendró a Eleazar; Eleazar engendró a Matán; Matán engendró a Jacob.,Inchen Eliudbe Eleazarwei møskain gøben; Eleazarbe Matánwei møskain gøben;  Matánbe Jacobwei møskain gøben;,bible,Mateo 1 - 15
15,"Y Jacob engendró a José, el esposo de María, de la cual nació Jesús, llamado Mesías.","Jacobpe Joséwei møskain gøbig køn. Inchen tru Josébe Maríai keg køben, tru Maríagurri Jesús kal-laig købig køn, tru Cristo taig.",bible,Mateo 1 - 16
16,"Así pues, son catorce las generaciones desde Abrahán hasta David, catorce desde David hasta la deportación de Babilonia, y catorce desde la deportación de Babilonia hasta el Mesías.","Inchawei Abraham køb uraskurri merrabsrø kølli misaamerai ureemera katøle srøig, srøig kurrab arrubig David køb uraskatiibe catorce gøbig køn. Inchen David køb uraskurri tru israelitasmeran Babiloniamay merrarrawa srua ambub uraskatig katøgan catorce treetøwei katøle srøig, srøig misaamera kurrab arrig købig køn. Incha tru israelitasmeran Babiloniamay srua ambub uraskurri tru Cristo kal-lamnegatiibe misaamera katøgan catorce treetøwei kurrab arrig køn.",bible,Mateo 1 - 17
17,"El nacimiento de Jesús, el Mesías, fue así: su madre María estaba prometida a José y, antes de vivir juntos, resultó que esperaba un hijo por la acción del Espíritu Santo.","Jesucristo kal-laibe øyeeg kuig køn: María nui usrimbe Joséba kasharanrrab misra uñen, Josébe kasharanrrab permøwatø Maríabe Espíritu Santogurri kwanrriig kenamisrøptinchibig køn.",bible,Mateo 1 - 18
18,"José, su esposo, que era justo y no quería denunciarla, decidió separarse de ella en secreto.","Inchen José tru nui keg kønrrabiibe sølgandø tabig kua, Maríane maya misagwei malau ‘øyeeg kuin gøn’ chib kenamarmønrrab, nuinetø niløtø tarømisrøptinchab isubig køn.",bible,Mateo 1 - 19
19,"Después de tomar esta decisión, el ángel del Señor se le apareció en sueños y le dijo: –José, hijo de David, no temas aceptar a María como tu esposa, pues el hijo que espera viene del Espíritu Santo.","Nøbe treeg martrab chab isubguen inchen, Señorwei kan ángel piabyu kenamisrabe trenchibig køn: —José, ñi Davidwei misagugurri arrubig, Marían ñui srain gønrrai utamigwan kørig kui inchimøta cha. Kaguende tru unø tøgagømibe Espíritu Santoin gøn cha.",bible,Mateo 1 - 20
20,"Dará a luz un hijo, y le pondrás por nombre Jesús, porque él salvará a su pueblo de los pecados.","Nøbe kan møg-unø tøgagøben, truigwane Jesús munchi basrtrig chibig køn. Nøbe øyeeg wamig kønrrun chibig køn, kaguende nui misagwan kaig mariiløyugurri wesranrrabig kuimba.—",bible,Mateo 1 - 21
21,Todo esto sucedió para que se cumpliera lo que había anunciado el Señor por el profeta:,"Kerrigu øyeeg pureppe, Tius maig karuigwan eshkabigwan Señor truigwan øyah taig nebunrrai treeg kuig køn:",bible,Mateo 1 - 22
22,"La virgen concebirá y dará a luz un hijo, a quien pondrán por nombre Emmanuel (que significa: Dios con nosotros).","“Kan srusrø mu møøbagucha kimíig kwanrriig kørrømisra, kan unø tøgagønrrun daig. Truibe Emanuel cha wamig kønrrun” cha, trenchibig køn. (Tru Emanuel munchibe “Tiusbe namba basran” daig.)",bible,Mateo 1 - 23
23,"Cuando José se despertó del sueño, hizo lo que el ángel del Señor le había mandado: recibió a su esposa","Incha José tru piabyugurri kiagasrabe, Señorwei ángel maig karuig køben treeg mara, Maríane nui srain gønrrai kørrømarøbig køn.",bible,Mateo 1 - 24
24,"y, sin tener relaciones conyugales, ella dio a luz un hijo, al que José puso por nombre Jesús.","Incha Josébe Marían nui nusrkawan tøgagømnegatig keeba, sraimba lataig nømui asrtøga chi marmuig køn. Incha Josébe unane Jesús munchi basrøbig køn.",bible,Mateo 1 - 25
25,"Jesús nació en Belén, un pueblo de Judea, en tiempo del rey Herodes. Por entonces unos sabios de oriente se presentaron en Jerusalén,","Jesúsbe Judea birau Belén puebloyu kal-labig køn, Herodes tru birau rey gøb uras. Inchen tru uras pørr gal-labgatøsrø kusreb møguelø tru estrellameran ashib kusrebelø Jerusalén puabe,",bible,Mateo 2 - 1
26,preguntando: –¿Dónde está el rey de los judíos que acaba de nacer? Hemos visto su estrella en el oriente y venimos a adorarlo.,"trenchib payibelø gøn: —¿Judíosmerai tru rey kal-labiibe chu tsuh? cha. Kaguende nambe nui estrellan webarri asha, køriibala nune tabig waminchab amrruer— cha.",bible,Mateo 2 - 2
27,"Al oír esto, el rey Herodes se alarmó y con él toda Jerusalén.","Inchen rey Herodesbe trendaigwan mørabe, ni mumaygucha gømui inchibig køn. Inchen katø Jerusalén misaamerangucha treetøweim bubig køn.",bible,Mateo 2 - 3
28,Entonces convocó a todos los jefes de los sacerdotes y a los maestros de la ley y les preguntó dónde tenía que nacer el Mesías.,"Inchen reybe sacerdotesmeran karubelanba, tru Moisés pørigwan kusrenanøbelanba wama, payibig køn: —¿Cristobe chu gal-lanrrabig kø?— cha.",bible,Mateo 2 - 4
29,"Ellos le respondieron: –En Belén de Judea, pues lo dejó escrito el profeta:",Inchen nømbe trenchibelø gøn: —Judea birau Belén cha. Kaguende Tius maig karuigwan eshkabig øyah pørig køn cha:,bible,Mateo 2 - 5
30,"Y tú, Belén, tierra de Judá, ciertamente no eres, la menor entre las ciudades principales de Judá; porque de ti saldrá un jefe, que será pastor de mi pueblo, Israel.","Judea birau, ñi Belén pueblo-unøbe, tru birau purø wamindig ciudamerai utu ñibe chigucha gømøzhig lataig kønrrab gømø, purø nuig køn cha. Kaguende ñuinukkurrimbe misagwan ashib karunrrabig kan webattrun cha, nai Israel misagwan nø pera marøb ashib pasrønrrabig.—",bible,Mateo 2 - 6
31,"Entonces Herodes, llamando aparte a los sabios, investigó con exactitud el momento en que había aparecido la estrella,","Inchen Herodesbe tru srømbalasrø estrellameran ashib kusrebelan mu ashmøwatø wama, estrellabe tappe chu uras kenamisrigwan payibig køn.",bible,Mateo 2 - 7
32,"y los envió a Belén con este encargo: –Vayan e infórmense bien sobre ese niño; y, cuando lo encuentren, avísenme para ir yo también a adorarlo.","Incha nømune Belénmay ørabe, trenchibig køn: —Trusrømay amba, tru unaimburab tab payrrigay cha. Incha wetørrawabe, eshkarrunrrigay cha, nagucha køriibala tabig waminchab inrrab— cha.",bible,Mateo 2 - 8
